    PID CMD
    890 avahi-daemon: chroot helper
    823 avahi-daemon: running [osc.local]
  21579 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    824 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     55 [ecryptfs-kthread]
   3493 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2139 gdm-session-worker [pam/gdm-password]
  19117 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   5523 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
  23074 grep --color=auto -v ^PID
     19 [idle_inject/0]
     22 [idle_inject/1]
     44 [irq/9-acpi]
    293 [jbd2/dm-0-8]
    514 [jbd2/sda2-8]
     32 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     54 [kswapd0]
      2 [kthreadd]
  23068 [kworker/0:0]
     10 [kworker/0:0H-kblockd]
  22884 [kworker/0:1-events]
  13321 [kworker/0:1H-kblockd]
  22746 [kworker/0:2-events]
  22966 [kworker/1:0-events]
  19092 [kworker/1:0H-kblockd]
  22314 [kworker/1:1-events]
  23059 [kworker/1:2]
  17196 [kworker/1:2H]
     57 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     91 [kworker/R-charg]
    574 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    294 [kworker/R-ext4-]
    515 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     66 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    254 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     73 [kworker/R-kstrp]
     56 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     65 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     60 [kworker/R-scsi_]
     62 [kworker/R-scsi_]
    143 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    154 [kworker/R-scsi_]
    156 [kworker/R-scsi_]
    158 [kworker/R-scsi_]
    161 [kworker/R-scsi_]
    163 [kworker/R-scsi_]
    165 [kworker/R-scsi_]
    167 [kworker/R-scsi_]
    169 [kworker/R-scsi_]
    172 [kworker/R-scsi_]
    174 [kworker/R-scsi_]
    176 [kworker/R-scsi_]
    178 [kworker/R-scsi_]
    180 [kworker/R-scsi_]
    182 [kworker/R-scsi_]
    184 [kworker/R-scsi_]
    186 [kworker/R-scsi_]
    188 [kworker/R-scsi_]
    191 [kworker/R-scsi_]
    194 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    198 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    202 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    206 [kworker/R-scsi_]
      6 [kworker/R-slub_]
  21812 [kworker/R-tls-s]
     45 [kworker/R-tpm_d]
    152 [kworker/R-ttm]
     36 [kworker/R-write]
   8203 [kworker/u4:0-ext4-rsv-conversion]
  11300 [kworker/u4:1-ext4-rsv-conversion]
  22887 [kworker/u5:0-events_power_efficient]
  22967 [kworker/u5:1-events_unbound]
  22505 [kworker/u5:2-events_power_efficient]
  23070 [kworker/u5:3-events_power_efficient]
  22883 [kworker/u6:0-events_unbound]
  22736 [kworker/u6:1-events_unbound]
  22955 [kworker/u6:2-events_power_efficient]
  22761 [kworker/u6:4-events_power_efficient]
     75 [kworker/u7:0]
     76 [kworker/u8:0]
     77 [kworker/u9:0]
     18 [migration/0]
     23 [migration/1]
     34 [oom_reaper]
      3 [pool_workqueue_release]
  23073 ps -eo pid,cmd --sort=cmd
    436 [psimon]
  18398 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
      1 /sbin/init splash
     59 [scsi_eh_0]
     61 [scsi_eh_1]
    159 [scsi_eh_10]
    162 [scsi_eh_11]
    164 [scsi_eh_12]
    166 [scsi_eh_13]
    168 [scsi_eh_14]
    170 [scsi_eh_15]
    173 [scsi_eh_16]
    175 [scsi_eh_17]
    177 [scsi_eh_18]
    179 [scsi_eh_19]
    142 [scsi_eh_2]
    181 [scsi_eh_20]
    183 [scsi_eh_21]
    185 [scsi_eh_22]
    187 [scsi_eh_23]
    190 [scsi_eh_24]
    192 [scsi_eh_25]
    195 [scsi_eh_26]
    197 [scsi_eh_27]
    199 [scsi_eh_28]
    201 [scsi_eh_29]
    144 [scsi_eh_3]
    203 [scsi_eh_30]
    205 [scsi_eh_31]
    146 [scsi_eh_4]
    148 [scsi_eh_5]
    150 [scsi_eh_6]
    153 [scsi_eh_7]
    155 [scsi_eh_8]
    157 [scsi_eh_9]
   3391 (sd-pam)
  19666 /snap/firefox/4173/usr/lib/firefox/firefox
  22349 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 11 -isForBrowser -prefsLen 31279 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {7c7943be-47e2-4543-b07c-657fe90ef20a} 19666 true tab
  22481 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 12 -isForBrowser -prefsLen 31279 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {d2672ee3-53a3-40a4-8402-eb948e1a90fa} 19666 true tab
  22608 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 31325 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {4aac4065-4ada-44a9-bc8d-0dc24240e66f} 19666 true tab
  19799 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 28749 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {ce08ef1d-cd62-42ca-881a-ff3faff462b1} 19666 true tab
  19978 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 34239 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {99b2ec72-14da-4f3a-b474-6b34a47c0707} 19666 true tab
  20315 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 30865 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {b815ebb7-e463-42e2-9ee2-b59ecac6ac2a} 19666 true tab
  21443 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 31118 -prefMapSize 241454 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {ddf0030a-09c8-4bfe-bc94-a822835277a4} 19666 true tab
  19784 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -prefsLen 28608 -prefMapSize 241454 -appDir /snap/firefox/4173/usr/lib/firefox/browser {9982bcaa-fb0b-4092-acc9-50b8f453cae3} 19666 true socket
  21469 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -prefsLen 34492 -prefMapSize 241454 -appDir /snap/firefox/4173/usr/lib/firefox/browser {4ca84bfe-639a-4f0c-8cdc-92954537bcc9} 19666 true rdd
  20287 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -parentBuildID 20240419214016 -sandboxingKind 0 -prefsLen 34239 -prefMapSize 241454 -appDir /snap/firefox/4173/usr/lib/firefox/browser {a4f7cab9-ffea-4d62-91d0-7a17e2a47df6} 19666 true utility
